announced_date,region,number_of_facilities,total_number_of_quarantine_people,total_covid_confirmed_cases,new_positive_within_24hrs,deceased,new_deceased,ref
2020-03-04,Bago,911,8373,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Mon,435,7674,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Magway,74,7339,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (North),61,5957,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Mandalay,804,5337,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Sagaing,1231,5281,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (East),590,4160,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kachin,152,3480,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Yangon,26,2644,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kayin,25,2402,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (South),256,2262,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Ayeyarwady,317,2235,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Nay Pyi Taw,5,667,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kayah,19,496,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Rakhine,9,245,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Chin,16,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Tanintharyi,317,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-04-04,Magway,73,12546,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Bago,996,8867,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Mon,476,8597,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Mandalay,883,5995,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (North),61,5957,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Sagaing,1231,5281,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (East),590,4160,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kachin,152,3480,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Ayeyarwady,317,2768,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Yangon,26,2644,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kayin,25,2402,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (South),256,2262,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Nay Pyi Taw,5,799,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kayah,19,496,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Rakhine,9,245,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Chin,16,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Tanintharyi,317,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-06-04,Yangon,79,3412,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Mandalay,933,6577,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Bago,1040,8989,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Shan (North),164,3489,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Shan (East),12,233,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Magway,73,12546,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Kayah,17,370,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Shan (South),284,3329,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Sagaing,1293,11871,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Kayin,35,2746,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Rakhine,17,331,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Ayeyarwady,391,2786,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Nay Pyi Taw,5,809,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Kachin,214,4883,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Mon,479,8724,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Chin,17,40,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-06-04,Tanintharyi,25,3635,,,,,http://mohs.gov.mm/su/yuyn9555YU
2020-08-04,Yangon,81,3405,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Mandalay,933,6735,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Bago,1025,9440,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Shan (North),268,1034,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Shan (East),21,1104,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Kayah,17,141,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Magway,73,13980,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Shan (South),284,2602,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Sagaing,6889,19090,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Kayin,35,2811,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Ayeyarwady,416,2470,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Nay Pyi Taw,6,1059,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Rakhine,76,447,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Kachin,238,5281,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Mon,484,4728,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Chin,17,45,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-08-04,Tanintharyi,228,1278,,,,,https://www.mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCEU%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sit-rep%204%20(9-4-2020)_Edited.pdf
2020-09-04,Yangon,81,3066,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Mandalay,933,6735,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Bago,996,8575,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Shan (North),268,1074,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Shan (East),21,1104,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Magway,73,13980,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Kayah,17,89,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Shan (South),284,2897,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Sagaing,6889,19913,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Kayin,35,3101,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Rakhine,109,664,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Ayeyarwady,416,2470,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Nay Pyi Taw,6,1040,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Kachin,263,5447,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Mon,484,4728,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Chin,17,45,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-09-04,Tanintharyi,228,1144,,,,,http://mohs.gov.mm/su/efnl2410EF
2020-10-04,Yangon,81,2763,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Mandalay,933,5972,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Bago,996,8575,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Shan (North),268,1269,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Shan (East),26,1214,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Magway,73,13980,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Kayah,17,76,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Shan (South),284,2510,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Sagaing,6889,20696,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Kayin,35,3101,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Rakhine,129,846,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Ayeyarwady,416,2470,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Nay Pyi Taw,6,1022,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Kachin,268,5761,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Mon,484,2670,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Chin,17,46,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-10-04,Tanintharyi,228,1317,,,,,http://mohs.gov.mm/su/qggv6706QG
2020-11-04,Yangon,84,2598,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Mandalay,933,5178,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Bago,996,6027,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Shan (North),268,1269,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Shan (East),26,1214,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Magway,73,13980,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Kayin,35,1925,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Kayah,17,69,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Shan (South),423,2005,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Sagaing,6889,17266,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Ayeyarwady,405,1613,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Mon,484,2670,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Rakhine,129,846,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Nay Pyi Taw,6,972,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Kachin,268,5863,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Chin,17,47,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-11-04,Tanintharyi,228,1110,,,,,http://mohs.gov.mm/su/rqey6968RQ
2020-12-04,Tanintharyi,228,969,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Yangon,84,2598,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Mandalay,804,4602,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Bago,873,5402,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Shan (North),200,1561,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Shan (East),20,973,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Magway,73,13787,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Kayin,418,3233,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Kayah,17,64,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Shan (South),424,1626,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Sagaing,1446,4820,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Ayeyarwady,314,1355,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Mon,486,1922,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Rakhine,130,724,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Nay Pyi Taw,6,936,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Kachin,277,6006,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Tanintharyi,228,1067,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-12-04,Chin,17,55,,,,,http://mohs.gov.mm/su/xhbu9031XH
2020-04-13,Yangon,82,2505,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Mandalay,804,4602,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Bago,817,5418,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Shan (North),205,1426,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Shan (East),21,935,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Magway,73,8696,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Kayin,419,3097,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Kayah,15,71,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Mon,169,1745,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Sagaing,1446,17039,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Ayeyarwady,211,1200,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Shan (South),221,1641,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Nay Pyi Taw,3,968,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Rakhine,139,737,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Tanintharyi,228,969,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Kachin,282,6181,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-13,Chin,17,61,,,,,http://mohs.gov.mm/su/dvbk2311DV
2020-04-14,Yangon,77,2568,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Mandalay,795,4476,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Bago,817,5418,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Shan (North),208,1260,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Shan (East),21,935,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Magway,1879,8696,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Kayin,421,3164,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Kayah,15,161,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Mon,169,1745,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Sagaing,1446,15518,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Ayeyarwady,208,1059,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Shan (South),218,1655,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Nay Pyi Taw,3,976,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Rakhine,139,737,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Tanintharyi,228,845,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Kachin,286,3198,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-14,Chin,17,83,,,,,http://mohs.gov.mm/su/mlkl5213ML
2020-04-15,Yangon,78,2622,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Mandalay,765,4364,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Bago,751,5405,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Shan (North),208,1260,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Shan (East),21,935,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Magway,1880,10299,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Kayin,420,3172,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Kayah,15,165,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Mon,17,94,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Sagaing,1446,4637,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Ayeyarwady,208,976,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Shan (South),218,1643,,,,,http://mohs.gov.mm/su/hkmc3500HK
2020-04-15,Nay Pyi Taw,3,986,,,,,http://mohs.gov.mm/su/hkmc3500HK
